Time,Temperature,Frequency,Magnitude
0.00,19.98,0.00,3586.57
1.00,19.98,0.01,2.04
2.00,19.98,0.01,1.00
3.00,19.98,0.02,0.87
4.00,19.98,0.02,0.54
5.00,19.98,0.03,0.23
6.00,19.98,0.03,0.48
7.00,19.96,0.04,0.35
8.00,19.96,0.04,0.44
9.00,19.96,0.05,0.42
10.00,19.96,0.06,0.22
11.00,19.96,0.06,0.23
12.00,19.96,0.07,0.31
13.00,19.96,0.07,0.32
14.00,19.96,0.08,0.14
15.00,19.96,0.08,0.35
16.00,19.96,0.09,0.20
17.00,19.96,0.09,0.04
18.00,19.96,0.10,0.24
19.00,19.96,0.11,0.18
20.00,19.96,0.11,0.12
21.00,19.96,0.12,0.13
22.00,19.96,0.12,0.04
23.00,19.96,0.13,0.07
24.00,19.96,0.13,0.17
25.00,19.96,0.14,0.06
26.00,19.96,0.14,0.07
27.00,19.96,0.15,0.11
28.00,19.96,0.16,0.07
29.00,19.96,0.16,0.06
30.00,19.96,0.17,0.24
31.00,19.96,0.17,0.12
32.00,19.96,0.18,0.12
33.00,19.93,0.18,0.10
34.00,19.93,0.19,0.08
35.00,19.93,0.19,0.18
36.00,19.93,0.20,0.16
37.00,19.93,0.21,0.10
38.00,19.93,0.21,0.05
39.00,19.93,0.22,0.19
40.00,19.93,0.22,0.08
41.00,19.93,0.23,0.13
42.00,19.93,0.23,0.07
43.00,19.93,0.24,0.17
44.00,19.93,0.24,0.12
45.00,19.93,0.25,0.08
46.00,19.93,0.26,0.18
47.00,19.93,0.26,0.11
48.00,19.96,0.27,0.05
49.00,19.93,0.27,0.05
50.00,19.93,0.28,0.08
51.00,19.96,0.28,0.08
52.00,19.93,0.29,0.10
53.00,19.93,0.29,0.15
54.00,19.93,0.30,0.10
55.00,19.93,0.31,0.08
56.00,19.93,0.31,0.18
57.00,19.93,0.32,0.08
58.00,19.93,0.32,0.02
59.00,19.93,0.33,0.05
60.00,19.93,0.33,0.14
61.00,19.96,0.34,0.08
62.00,19.96,0.34,0.04
63.00,19.96,0.35,0.07
64.00,19.93,0.36,0.13
65.00,19.93,0.36,0.07
66.00,19.93,0.37,0.07
67.00,19.93,0.37,0.14
68.00,19.93,0.38,0.13
69.00,19.93,0.38,0.11
70.00,19.93,0.39,0.03
71.00,19.93,0.39,0.13
72.00,19.93,0.40,0.08
73.00,19.93,0.41,0.03
74.00,19.93,0.41,0.10
75.00,19.93,0.42,0.13
76.00,19.93,0.42,0.14
77.00,19.93,0.43,0.09
78.00,19.93,0.43,0.09
79.00,19.93,0.44,0.09
80.00,19.93,0.44,0.11
81.00,19.93,0.45,0.08
82.00,19.93,0.46,0.02
83.00,19.93,0.46,0.13
84.00,19.93,0.47,0.16
85.00,19.93,0.47,0.10
86.00,19.93,0.48,0.15
87.00,19.93,0.48,0.04
88.00,19.93,0.49,0.09
89.00,19.93,0.49,0.08
90.00,19.93,0.50,0.00
91.00,19.93,0.51,0.08
92.00,19.93,0.51,0.08
93.00,19.93,0.52,0.04
94.00,19.93,0.52,0.15
95.00,19.90,0.53,0.10
96.00,19.93,0.53,0.15
97.00,19.93,0.54,0.14
98.00,19.93,0.54,0.01
99.00,19.93,0.55,0.08
100.00,19.90,0.56,0.11
101.00,19.93,0.56,0.08
102.00,19.93,0.57,0.09
103.00,19.93,0.57,0.09
104.00,19.90,0.58,0.15
105.00,19.90,0.58,0.13
106.00,19.90,0.59,0.09
107.00,19.90,0.59,0.03
108.00,19.90,0.60,0.08
109.00,19.90,0.61,0.13
110.00,19.90,0.61,0.03
111.00,19.90,0.62,0.11
112.00,19.90,0.62,0.12
113.00,19.90,0.63,0.14
114.00,19.90,0.63,0.07
115.00,19.93,0.64,0.07
116.00,19.90,0.64,0.14
117.00,19.90,0.65,0.06
118.00,19.90,0.66,0.04
119.00,19.90,0.66,0.08
120.00,19.90,0.67,0.14
121.00,19.90,0.67,0.05
122.00,19.93,0.68,0.02
123.00,19.90,0.68,0.08
124.00,19.90,0.69,0.18
125.00,19.90,0.69,0.08
126.00,19.93,0.70,0.10
127.00,19.90,0.71,0.15
128.00,19.90,0.71,0.11
129.00,19.90,0.72,0.07
130.00,19.90,0.72,0.09
131.00,19.90,0.73,0.05
132.00,19.90,0.73,0.05
133.00,19.90,0.74,0.11
134.00,19.90,0.74,0.18
135.00,19.90,0.75,0.09
136.00,19.90,0.76,0.12
137.00,19.90,0.76,0.16
138.00,19.90,0.77,0.07
139.00,19.93,0.77,0.13
140.00,19.88,0.78,0.08
141.00,19.90,0.78,0.18
142.00,19.90,0.79,0.04
143.00,19.90,0.79,0.10
144.00,19.90,0.80,0.16
145.00,19.90,0.81,0.18
146.00,19.90,0.81,0.08
147.00,19.90,0.82,0.10
148.00,19.90,0.82,0.11
149.00,19.90,0.83,0.12
150.00,19.90,0.83,0.23
151.00,19.90,0.84,0.06
152.00,19.90,0.84,0.07
153.00,19.90,0.85,0.12
154.00,19.90,0.86,0.08
155.00,19.90,0.86,0.06
156.00,19.90,0.87,0.17
157.00,19.90,0.87,0.07
158.00,19.90,0.88,0.04
159.00,19.90,0.88,0.13
160.00,19.90,0.89,0.12
161.00,19.90,0.89,0.18
162.00,19.90,0.90,0.24
163.00,19.90,0.91,0.04
164.00,19.90,0.91,0.20
165.00,19.90,0.92,0.35
166.00,19.90,0.92,0.14
167.00,19.90,0.93,0.31
168.00,19.90,0.93,0.31
169.00,19.90,0.94,0.22
170.00,19.90,0.94,0.22
171.00,19.90,0.95,0.42
172.00,19.90,0.96,0.45
173.00,19.90,0.96,0.35
174.00,19.90,0.97,0.47
175.00,19.90,0.97,0.22
176.00,19.90,0.98,0.54
177.00,19.90,0.98,0.87
178.00,19.90,0.99,1.01
179.00,19.90,0.99,2.04
Power Mode: POWER_DOWN
